latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,year,month,day,hours,minutes,vehicle_type_code1_big_trucks,vehicle_type_code1_bike,vehicle_type_code1_car,vehicle_type_code1_motorbike,vehicle_type_code1_public vehicles,vehicle_type_code1_service vehicles,vehicle_type_code1_van,vehicle_type_code1_vehicle-attachment,vehicle_type_code2_big_trucks,vehicle_type_code2_bike,vehicle_type_code2_car,vehicle_type_code2_motorbike,vehicle_type_code2_public vehicles,vehicle_type_code2_service vehicles,vehicle_type_code2_van,vehicle_type_code2_vehicle-attachment,vehicle_type_code_3_big_trucks,vehicle_type_code_3_bike,vehicle_type_code_3_car,vehicle_type_code_3_motorbike,vehicle_type_code_3_public vehicles,vehicle_type_code_3_service vehicles,vehicle_type_code_3_van,vehicle_type_code_3_vehicle-attachment
40.75834,-73.95775,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,17,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.8665,-73.872055,0,0,0,0,0,0,0,0,driver inattention/distraction,following too closely,following too closely,following too closely,unspecified,2017,5,4,17,33,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.613453,-73.976135,0,0,0,0,0,0,0,0,backing unsafely,unspecified,unspecified,unspecified,,2017,5,9,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.694035,-73.72679,0,0,0,0,0,0,0,0,reaction to uninvolved vehicle,unspecified,unspecified,,,2017,5,3,7,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.724937,-73.76516,0,0,0,0,0,0,0,0,backing unsafely,unspecified,unspecified,unspecified,,2017,5,2,11,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.75201,-73.93016,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,,,2017,5,4,19,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.52114,-74.21724,0,0,0,0,0,0,0,0,backing unsafely,unspecified,unspecified,,,2017,4,25,18,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.844517,-73.851326,1,0,0,0,0,0,1,0,driver inattention/distraction,unspecified,unspecified,,,2017,4,29,4,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.66495,-73.9924,0,0,0,0,0,0,0,0,following too closely,unspecified,unspecified,,,2017,4,24,19,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.76124,-73.96587,0,0,0,0,0,0,0,0,failure to yield right-of-way,unspecified,unspecified,,,2017,4,22,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40.663387,-73.72941,3,0,0,0,0,0,3,0,unspecified,unspecified,unspecified,,,2017,4,14,10,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.60235,-74.189606,6,0,0,0,0,0,6,0,following too closely,unspecified,unspecified,,,2017,5,4,19,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.8099,-73.92881,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,5,9,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.8095,-73.93583,0,0,0,0,0,0,0,0,unsafe lane changing,unsafe lane changing,,,,2017,4,17,15,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.76671,-73.917114,0,0,0,0,0,0,0,0,animals action,unspecified,unspecified,unspecified,,2017,4,15,11,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.598267,-73.93369,2,0,0,0,0,0,2,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,5,16,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.755215,-73.819954,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,unspecified,,2017,4,30,1,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.698032,-73.79599,0,0,0,0,0,0,0,0,unspecified,unspecified,unspecified,,,2017,5,7,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40.656742,-73.92897,0,0,0,0,0,0,0,0,driver inattention/distraction,unspecified,unspecified,,,2017,5,9,6,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
